"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
75,1.28,0.246860077931526,0,0,0,2,1,0,0,1,8,0.71,-0.342490308946776,1,0,0,0,1,2,0,0,0.3875,0.13,0,0,7,1,4,1,0,5.5
77,0,-4.60517018598809,1,0,1,4,1,0,1,1,12,2.9,1.06471073699243,0,1,2,1,1,2,1,1,0.9,0.05,8,0,11,0,6,0,0,9
81,0.46,-0.776528789498996,1,0,1,4,1,1,0,0,12,0.29,-1.23787435600162,1,1,1,1,0,0,0,0,0.7875,0.59,2,0,2,1,4,2,1,7
85,1.97,0.678033542749897,0,0,0,4,1,0,0,1,12,0.75,-0.287682072451781,1,1,2,0,0,0,0,0,0.4375,0.09,5,0,5,1,4,0,0,7
87,0.06,-2.81341071676004,1,0,0,4,1,0,1,1,14,2.67,0.982078472412158,0,1,2,0,1,2,0,1,0.725,0.05,5,1,4,0,3,0,0,8
89,8.5,2.14006616349627,0,1,0,1,0,0,0,1,6,2.155,0.767790723555711,0,1,2,1,1,2,1,1,0.436875,0.4061,4,0,8,0,6,0,0,0
90,6.81,1.91839212016142,0,0,0,1,0,0,1,1,16,2.15,0.765467842139571,0,1,2,1,1,2,0,1,0.400625,0.5361,0,30,4,1,3,0,0,0
92,0.49,-0.713349887877465,1,0,0,3,1,0,0,1,12,2.36,0.858661619037519,0,1,2,1,1,2,1,0,0.506875,0.3071,10,0,3,0,4,0,0,8
93,1.54,0.431782416425538,0,0,0,3,1,0,1,1,12,1.82,0.598836501088704,0,1,2,0,1,2,0,1,0.45,0.09,2,0,3,0,4,0,1,6
94,5.18,1.64480505627139,0,0,1,0,0,1,0,0,10,1.62,0.482426149244293,0,1,1,0,1,1,0,0,0.15,0.31,5,20,6,0,4,0,0,0
95,3.94,1.37118072330984,0,0,0,2,1,0,1,0,8,2.11,0.746687947487975,0,1,2,1,1,2,1,1,0.8375,0.05,1,0,10,0,6,0,0,9
97,6.18,1.8213182714696,0,1,0,0,0,0,1,0,12,2.5,0.916290731874155,0,1,1,1,1,2,1,0,0.5625,0.49,1,1,6,1,4,0,0,0
104,11.49,2.44147709186066,0,1,1,0,0,0,0,1,16,2.695,0.99139820436096,0,1,2,0,1,2,0,1,0.7875,0.46,4,0,4,0,4,0,0,0
105,6.58,1.88403474533723,0,0,0,3,1,0,0,1,16,4.23,1.44220199305819,0,1,2,0,1,2,1,1,0.5125,0.05,4,0,9,0,4,1,0,4
107,5.61,1.72455071953461,0,1,1,2,1,0,0,1,19,6.55,1.87946504964716,0,1,2,0,1,2,0,1,0.6,0.49,5,0,6,0,6,1,0,11
108,1.85,0.615185639090233,0,1,0,4,1,0,0,1,19,3.82,1.34025042261848,0,1,2,0,1,2,0,1,0.7875,0.05,5,0,9,0,5,0,0,6
109,2.45,0.896088024556636,0,1,1,2,1,0,0,1,12,3.505,1.25419052048655,0,1,2,1,1,2,1,1,0.4875,0.05,3,0,10,0,5,0,1,8
110,2.87,1.05431202977153,0,1,1,4,1,0,0,1,12,3.65,1.2947271675944,0,1,2,1,1,2,1,1,0.7375,0.05,2,0,8,0,6,0,0,8
111,20.25,3.00815479355255,0,1,1,1,0,0,0,0,13,3.305,1.19543647330365,0,1,2,0,1,1,1,1,0.6625,0.47,0,0,6,0,6,0,0,0
113,0,-4.60517018598809,1,0,0,4,1,0,0,1,15,4.875,1.58412010444981,0,1,2,1,0,0,0,0,0.3875,0.32,2,0,7,1,6,1,0,11
114,4.59,1.52388002407245,0,0,1,2,1,0,0,0,13,6.07,1.80335860507141,0,1,1,1,1,1,1,0,0.8,0.46,1,0,4,0,4,1,1,9
115,3.48,1.24703229378638,0,0,1,4,1,0,1,1,12,0.695,-0.363843433417345,1,1,1,1,1,0,1,1,0.9,0.86,1,0,5,0,5,2,2,9
116,2.48,0.908258560176891,0,0,0,4,1,1,0,1,12,2.33,0.845868267577609,0,1,2,1,0,0,0,0,0.675,0.26,2,1,7,0,4,1,0,9
117,2.88,1.05779029414785,0,0,0,4,1,1,0,1,12,1.99,0.688134638736401,0,1,2,1,0,0,0,0,0.625,0.26,3,4,7,1,5,1,0,4
118,3.55,1.26694760348732,0,1,0,0,0,0,0,0,16,5.99,1.79009141212736,0,1,2,0,1,2,0,1,0.4875,0.5,2,0,5,0,4,0,0,0
122,11.41,2.43449016387398,0,0,0,4,1,0,0,1,14,6.035,1.79757585454949,0,1,2,0,1,2,1,1,0.9,0.05,0,0,8,0,6,0,0,11
126,2.82,1.03673688495002,0,0,0,1,0,0,0,1,12,1.07,0.0676586484738149,0,1,2,0,1,2,1,0,0.5625,0.51,4,0,6,0,4,0,0,0
128,3.25,1.17865499634165,0,1,1,2,1,0,0,1,16,7.9,2.06686275947298,0,1,2,1,0,0,0,1,0.5625,0.45,6,0,6,0,4,0,1,8
132,8.67,2.15986879079245,0,1,0,3,1,0,0,1,16,3.84,1.34547236659964,0,1,2,1,1,2,1,1,0.5,0.41,2,0,6,0,4,0,1,12
