14 0 0 1 3 1 2 2 2 1 1 2 2 2 1 1 5 1 3 5 1 2 1 1 2 1 1 2 -4 -4 -4 -4 -4 -4 -4 -4 0 0 0 1 7 1980 17 0 1 1 12 12 2 18 -4 0 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
15 0 0 0 0 1 2 3 2 2 2 2 2 1 3 1 3 1 2 1 1 1 1 2 2 1 2 2 0 1 -4 -4 3 3 3 2 0 0 0 2 1 1983 15 -4 2 1 13 12 2 15 -4 2 17 -4 2 18 -4 1 18 -4 1 20 -3 1 21 83 1 2 22 -3 1 2 22 -3 1 2 23 118 0 2 -5 -5 -5 -5 -5 -5 -5 -5 27 -3 0 2
16 4 2 4 2 6 2 3 2 2 2 3 3 2 3 2 3 4 2 1 2 4 1 2 1 0 -4 -4 -4 -4 1 1 2 4 3 1 0 1 0 1 2 1982 15 120 1 1 -4 11 2 16 -4 1 17 -4 1 18 -4 0 20 29 0 20 -3 0 21 -3 0 2 22 0 0 2 23 0 0 2 25 -3 0 2 25 74 0 2 27 -3 0 3 27 0 0 3
17 2 0 0 -2 -2 2 2 1 3 3 3 2 2 3 -2 2 -2 2 1 3 4 1 3 2 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 0 0 2 11 1981 15 14 4 1 10 14 2 16 68 3 18 86 0 19 -3 0 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 23 385 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
18 5 0 20 16 26 3 3 2 3 2 3 3 2 4 5 5 4 1 1 5 5 1 1 2 1 3 2 -4 -4 2 2 3 1 2 1 0 0 0 1 2 1982 15 0 5 1 -4 15 1 16 -4 5 17 -3 -3 19 179 3 -5 -5 -5 20 -3 1 21 310 1 0 23 -3 1 0 23 313 1 0 24 356 1 0 25 169 1 0 26 -3 1 1 27 -3 1 1
19 0 12 1 6 10 4 1 3 1 4 2 4 5 5 1 3 1 5 1 3 3 1 3 2 0 -4 -4 -4 -4 1 2 4 4 4 4 1 1 1 1 4 1984 12 0 5 1 -4 15 1 14 -4 6 15 -4 -3 16 -4 4 18 -3 0 18 164 2 19 176 1 -3 20 -3 1 -3 21 -3 0 -3 22 -3 1 -3 -5 -5 -5 -5 -5 -5 -5 -5 25 0 1 -3
20 0 0 0 2 14 1 1 3 2 3 2 2 -2 3 4 4 1 3 1 1 1 1 1 1 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 1 0 1 12 1980 16 -3 2 1 -4 11 1 17 8 2 19 -2 1 20 15 1 -5 -5 -5 21 -3 1 22 -3 1 0 24 -3 1 0 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
21 0 0 1 -2 16 2 2 3 2 2 2 2 1 2 3 4 2 4 4 5 5 1 1 1 0 -4 -4 -4 -4 1 1 4 3 3 2 1 0 0 1 8 1982 14 0 2 1 -4 13 2 16 -4 1 17 249 1 18 204 0 19 -3 0 20 404 0 21 216 0 1 22 -3 0 1 23 -3 0 1 24 -3 0 1 25 104 0 1 26 88 0 1 27 0 0 1
22 1 2 50 2 0 4 2 1 4 1 2 2 2 5 3 4 3 3 2 5 4 1 1 2 0 -4 -4 -4 -4 0 2 2 3 4 3 0 0 0 1 6 1982 14 -3 1 1 -4 11 2 16 -4 1 17 -4 1 18 -4 0 19 0 0 20 -3 0 21 224 0 2 22 386 0 2 -5 -5 -5 -5 -5 -5 -5 -5 25 650 0 2 -5 -5 -5 -5 -5 -5 -5 -5
23 0 0 0 -2 -2 2 3 2 3 2 2 3 -2 5 3 3 4 2 3 4 5 1 1 2 1 1 1 1 1 -4 -4 1 3 4 3 1 0 0 2 1 1983 14 -3 2 1 -4 10 2 15 -2 2 16 118 2 17 -4 2 18 -4 1 19 -3 0 20 208 0 2 21 221 1 2 22 494 0 2 23 -3 0 2 24 581 0 3 25 723 0 3 26 -3 0 3
